Date,Open,High,Low,Close,AdjClose,Volume
"Sent: b'[11/26/1997, 0.211979, 0.220573, 0.211979, 0.213021, 0.213021,32616000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[11/28/1997, 0.213542, 0.216667, 0.205729, 0.20625, 0.20625,32064000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[12/1/1997, 0.211979, 0.21875, 0.206771, 0.213542, 0.213542,47664000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[12/2/1997, 0.213021, 0.215104, 0.208854, 0.211719, 0.211719,25248000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[12/3/1997, 0.209896, 0.21875, 0.209375, 0.218229, 0.218229,25800000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[12/4/1997, 0.220052, 0.227604, 0.219271, 0.225, 0.225,60768000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[12/5/1997, 0.221875, 0.229688, 0.217708, 0.229688, 0.229688,53232000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[12/8/1997, 0.227083, 0.238542, 0.226042, 0.235417, 0.235417,95328000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[12/9/1997, 0.233333, 0.238542, 0.230208, 0.234375, 0.234375,26640000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[12/10/1997, 0.229167, 0.23125, 0.219792, 0.225521, 0.225521,28896000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[12/11/1997, 0.219792, 0.241667, 0.219792, 0.234375, 0.234375,100296000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[12/12/1997, 0.232292, 0.240104, 0.220313, 0.227083, 0.227083,53448000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[12/15/1997, 0.229167, 0.233333, 0.220313, 0.229167, 0.229167,33888000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[12/16/1997, 0.232292, 0.232292, 0.222917, 0.222917, 0.222917,33744000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[12/17/1997, 0.21875, 0.222917, 0.21276, 0.219531, 0.219531,122808000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[12/18/1997, 0.217708, 0.221354, 0.211458, 0.214583, 0.214583,64080000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[12/19/1997, 0.211458, 0.226042, 0.208333, 0.225, 0.225,95064000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[12/22/1997, 0.225, 0.239063, 0.221615, 0.234896, 0.234896,87048000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[12/23/1997, 0.234375, 0.236979, 0.23125, 0.23125, 0.23125,23544000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[12/24/1997, 0.23125, 0.235417, 0.223438, 0.230208, 0.230208,46728000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[12/26/1997, 0.228125, 0.232292, 0.224479, 0.226042, 0.226042,9744000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[12/29/1997, 0.229167, 0.239063, 0.226563, 0.2375, 0.2375,51048000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[12/30/1997, 0.241667, 0.245313, 0.239063, 0.242448, 0.242448,125712000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[12/31/1997, 0.24375, 0.252083, 0.242188, 0.251042, 0.251042,88920000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[1/2/1998, 0.25, 0.25, 0.239844, 0.247917, 0.247917,33216000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[1/5/1998, 0.244271, 0.246875, 0.235417, 0.2375, 0.2375,71808000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[1/6/1998, 0.234896, 0.24375, 0.233333, 0.241927, 0.241927,83496000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[1/7/1998, 0.241667, 0.241667, 0.234635, 0.239063, 0.239063,54504000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[1/8/1998, 0.234896, 0.235156, 0.226563, 0.230729, 0.230729,120312000]' on port 9999. Hit CTRL-c to stop."
